REGION TYPE,REGION,YEAR,WEEK,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2014,5,4.19172,467,29,11141
States,Alaska,2014,5,1.86667,42,8,2250
States,Arizona,2014,5,2.92286,906,61,30997
States,Arkansas,2014,5,7.05495,321,15,4550
States,California,2014,5,4.28707,1813,131,42290
States,Colorado,2014,5,1.65351,377,10,22800
States,Connecticut,2014,5,3.24649,162,19,4990
States,Delaware,2014,5,2.48214,66,11,2659
States,District of Columbia,2014,5,8.93569,157,3,1757
States,Florida,2014,5,X,X,X,X
States,Georgia,2014,5,1.8826,457,37,24275
States,Hawaii,2014,5,4.99376,80,16,1602
States,Idaho,2014,5,2.59782,81,8,3118
States,Illinois,2014,5,2.31313,1240,107,53607
States,Indiana,2014,5,3.04646,240,39,7878
States,Iowa,2014,5,0.547358,161,20,29414
States,Kansas,2014,5,4.66637,314,30,6729
States,Kentucky,2014,5,1.08631,272,19,25039
States,Louisiana,2014,5,4.26658,1427,65,33446
States,Maine,2014,5,1.9802,106,31,5353
States,Maryland,2014,5,2.00847,242,24,12049
States,Massachusetts,2014,5,1.58231,478,56,30209
States,Michigan,2014,5,2.40028,349,54,14540
States,Minnesota,2014,5,2.53456,121,20,4774
States,Mississippi,2014,5,4.83694,663,43,13707
States,Missouri,2014,5,3.17951,257,26,8083
States,Montana,2014,5,0.145613,4,9,2747
States,Nebraska,2014,5,2.04842,55,15,2685
States,Nevada,2014,5,2.25962,427,42,18897
States,New Hampshire,2014,5,0.574205,26,26,4528
States,New Jersey,2014,5,3.57187,288,25,8063
States,New Mexico,2014,5,4.5808,542,28,11832
States,New York,2014,5,3.13798,574,157,18292
States,North Carolina,2014,5,2.90097,382,53,13168
States,North Dakota,2014,5,1.29291,29,12,2243
States,Ohio,2014,5,1.71574,250,53,14571
States,Oklahoma,2014,5,8.74261,340,21,3889
States,Oregon,2014,5,1.44202,49,17,3398
States,Pennsylvania,2014,5,2.83049,352,48,12436
States,Rhode Island,2014,5,1.09382,71,20,6491
States,South Carolina,2014,5,1.62555,85,15,5229
States,South Dakota,2014,5,2.2584,129,24,5712
States,Tennessee,2014,5,3.23936,316,54,9755
States,Texas,2014,5,4.69254,1920,120,40916
States,Utah,2014,5,2.5232,435,42,17240
